pQBR57.dPFLU4242.logFC,pQBR57.dPFLU4242.logCPM,pQBR57.dPFLU4242.F,pQBR57.dPFLU4242.PValue,pQBR57.dPFLU4242.FDR,pQBR57.PQBR57_0059_V100A.logFC,pQBR57.PQBR57_0059_V100A.logCPM,pQBR57.PQBR57_0059_V100A.F,pQBR57.PQBR57_0059_V100A.PValue,pQBR57.PQBR57_0059_V100A.FDR,pQBR57.dgacS.logFC,pQBR57.dgacS.logCPM,pQBR57.dgacS.F,pQBR57.dgacS.PValue,pQBR57.dgacS.FDR
PQBR57_0001,-0.201954604437143,12.7093400178967,2.98487830176032,0.104379861217554,0.272796447108453,-0.202005522144827,12.7093400178967,2.98262839344252,0.104499557246286,0.50587285666952,0.12844261386481,12.7093400178967,1.2128291893411,0.287971396597057,0.514923548800773
PQBR57_0002,0.276905675790617,5.80385983610465,1.35881745313143,0.261776787496251,0.493437661386739,-0.0735922258241865,5.80385983610465,0.0849313761510336,0.774676943416348,0.945885422268082,-0.0153376498556563,5.80385983610465,0.00429618950420351,0.948597389859916,0.973740935133312
PQBR57_0003,0.291590021756721,6.03397644866491,0.706213357839499,0.413777195666171,0.639774925188936,-0.19867087209233,6.03397644866491,0.281562476217174,0.603374989932733,0.909573114251779,0.422726502494815,6.03397644866491,1.60223987057489,0.224716069026939,0.453335480739572
PQBR57_0004,0.851738687785409,15.4733001129744,8.54004298434103,0.0104258594308896,0.0643683495298404,0.154201892715989,15.4733001129744,0.283669808556859,0.602035124765783,0.909573114251779,-2.32332360286403,15.4733001129744,58.4193903450634,1.41627840620947e-06,3.54902706497196e-05
PQBR57_0005,0.861920236794518,13.8331679079237,10.3758560994947,0.00565381278718051,0.0446023008766462,0.217848322692079,13.8331679079237,0.670850817440521,0.425459163323463,0.854932092338656,-2.51000114313705,13.8331679079237,79.4358696815224,2.06225511264916e-07,5.85680451992362e-06
PQBR57_0006,0.800004662477774,14.1009219024549,10.5053091909103,0.00542563047231116,0.0436097845510293,0.202070646102548,14.1009219024549,0.677366085621615,0.42326817493922,0.854560391109515,-2.48808304906228,14.1009219024549,91.8277472703972,8.04254515009367e-08,2.44723159567136e-06
PQBR57_0007,0.714820193488718,14.4888312640396,9.57537369756182,0.00733442788971719,0.0515020330391623,0.195453125275375,14.4888312640396,0.722013765151972,0.40871881381979,0.837087570611684,-2.49461438346104,14.4888312640396,105.199820478029,3.27088481987047e-08,1.2667244847862e-06
PQBR57_0008,0.619290628113,13.8530171864158,11.6902308443981,0.0037614093668307,0.0346756848070017,0.320909275134765,13.8530171864158,3.15368442909125,0.0958509243085347,0.480382279475715,-2.41905666016764,13.8530171864158,161.187376379734,1.77872551648683e-09,2.76883726417174e-07
PQBR57_0009,0.587806469418516,13.8801868229399,11.0535163430691,0.00456898970862333,0.0389207387389993,0.250729394676225,13.8801868229399,2.02038708048894,0.175467976918771,0.64439101868445,-2.26322382763669,13.8801868229399,149.809117107751,2.9557668523643e-09,3.14789169776798e-07
PQBR57_0010,0.488267237813929,14.487237476758,8.57484947828225,0.0103002606527941,0.0643683495298404,0.259931631620697,14.487237476758,2.43716696033597,0.139144162068608,0.598741545870978,-2.04748422764474,14.487237476758,139.982897683831,4.71884241503082e-09,4.02045373760626e-07
PQBR57_0011,-0.159319943743593,7.51750665432385,0.423636902914415,0.524882622267941,0.728338752723592,-0.111864322313178,7.51750665432385,0.206261260779431,0.656155865496146,0.928579224882276,0.224254575270353,7.51750665432385,0.910100720904615,0.35507037589454,0.597865534114917
PQBR57_0012,0.135241166563227,8.97900038589514,0.807842740737993,0.382829398616012,0.620096288252551,-0.0135859375390367,8.97900038589514,0.00798837544076884,0.92995323059547,0.998546695183773,0.283886060581862,8.97900038589514,3.68354595587376,0.0739992091882896,0.249633483177017
PQBR57_0013,0.162477794070771,8.63359295618456,1.58895894394007,0.226554068414539,0.457403000685278,-0.153708523446329,8.63359295618456,1.3715948472195,0.259638793269998,0.719637007504545,-0.0123789364514029,8.63359295618456,0.00942267907615257,0.923943633017547,0.967982883842523
PQBR57_0014,0.4378972509126,10.9062730383673,13.690697361508,0.00210848822220719,0.0264181171370666,0.145270291834226,10.9062730383673,1.4904803532078,0.240812638308074,0.715811524163189,0.337578319751625,10.9062730383673,8.22292669606126,0.0116547354293548,0.0670934769311506
PQBR57_0015,0.223797585219938,9.80864532992137,4.12585907071636,0.0601703150793325,0.199836282271411,0.00291846479850035,9.80864532992137,0.000688105565433067,0.979415075614444,0.999159930112588,-0.0161292833536848,9.80864532992137,0.0217369419184284,0.884734302396302,0.960241952582525
PQBR57_0016,0.135292545803849,8.06438625797378,0.761561251096047,0.396468456356555,0.629598357831015,-0.209310608387503,8.06438625797378,1.7351765039109,0.20733747572221,0.690045036387981,0.0238563925147743,8.06438625797378,0.0243975026694735,0.877941196025755,0.959494389846799
PQBR57_0017,-0.309632487789818,10.4893623285425,8.31371439947011,0.011286721268802,0.0667797675070785,-0.204177157575255,10.4893623285425,3.5993990120447,0.0770387475203923,0.429930727469228,-0.165577227456719,10.4893623285425,2.42608304329857,0.139982605981931,0.368102408322856
PQBR57_0018,-0.502757025535936,11.1123620026701,12.9673596508522,0.00258553090070518,0.0305954489916779,-0.172767350279096,11.1123620026701,1.5403720107382,0.233447041458717,0.715811524163189,-0.0278698617911528,11.1123620026701,0.0407956263644998,0.842621511337457,0.930961557489078
PQBR57_0019,-0.0412277383547263,10.0353586900555,0.194544634145105,0.665393536596971,0.819226394980548,-0.156806604890563,10.0353586900555,2.77377112801087,0.116368979575447,0.527374311692982,-0.183252880438424,10.0353586900555,3.8999275844158,0.0668122801587726,0.235223399567249
PQBR57_0020,-0.252467604613215,8.8555025721636,3.4596928783809,0.0824190005117932,0.23884689944234,-0.275477036551447,8.8555025721636,4.05190873625485,0.0622548928356771,0.401827035575734,-0.238464745316221,8.8555025721636,3.18046707196727,0.0945757984819631,0.292526852045088
PQBR57_0021,0.164998018142299,10.8675778623142,1.18962348171867,0.292458318659545,0.532424118585326,0.0229421200676734,10.8675778623142,0.0227220077448514,0.882171999388247,0.995683304875672,0.00590807203195991,10.8675778623142,0.0015361804755817,0.969247711887749,0.981633405437458
PQBR57_0022,0.450108835030833,12.1647986428604,6.37832661793199,0.0231775370564019,0.115087075140695,0.115443582185957,12.1647986428604,0.418564921829421,0.527340629030223,0.886617846667357,0.152641827990413,12.1647986428604,0.736930496932282,0.404030666948248,0.644633198951138
PQBR57_0023,0.0875344010662211,9.20134488992567,0.417754279643081,0.527735464907509,0.729532889185353,0.0992454953972445,9.20134488992567,0.527850111111079,0.478594006721481,0.867251637108635,0.222973746992874,9.20134488992567,2.78613207838013,0.115622589782579,0.335069545900536
PQBR57_0024,0.193518896966712,9.05232402972738,1.15741928885835,0.298845240791631,0.539440985496757,-0.0555717073403765,9.05232402972738,0.0929783982784617,0.764575536102207,0.945885422268082,0.126809056586247,9.05232402972738,0.509741810128251,0.486111359407351,0.69960621320112
