experiment,replicate,host,plasmid,timepoint,dilution,spread,count_white,count_blue
A,a,wild-type,plasmid-free,start,6,80,266,237
A,a,wild-type,pQBR57,start,6,80,215,233
A,a,wild-type,pQBR103,start,6,80,82,173
A,a,delta_gacS,plasmid-free,start,6,80,154,180
A,a,delta_gacS,pQBR57,start,6,80,183,256
A,a,delta_gacS,pQBR103,start,6,80,155,229
A,a,delta_PFLU4242,plasmid-free,start,6,80,239,239
A,a,delta_PFLU4242,pQBR57,start,6,80,140,225
A,a,delta_PFLU4242,pQBR103,start,6,80,244,296
A,b,wild-type,plasmid-free,start,6,80,275,302
A,b,wild-type,pQBR57,start,6,80,134,239
A,b,wild-type,pQBR103,start,6,80,73,188
A,b,delta_gacS,plasmid-free,start,6,80,137,169
A,b,delta_gacS,pQBR57,start,6,80,167,274
A,b,delta_gacS,pQBR103,start,6,80,170,311
A,b,delta_PFLU4242,plasmid-free,start,6,80,141,204
A,b,delta_PFLU4242,pQBR57,start,6,80,177,292
A,b,delta_PFLU4242,pQBR103,start,6,80,214,313
A,c,wild-type,plasmid-free,start,6,80,191,177
A,c,wild-type,pQBR57,start,6,80,177,209
A,c,wild-type,pQBR103,start,6,80,64,135
A,c,delta_gacS,plasmid-free,start,6,80,199,201
A,c,delta_gacS,pQBR57,start,6,80,141,177
A,c,delta_gacS,pQBR103,start,6,80,166,222
A,c,delta_PFLU4242,plasmid-free,start,6,80,268,174
A,c,delta_PFLU4242,pQBR57,start,6,80,244,268
A,c,delta_PFLU4242,pQBR103,start,6,80,190,214
A,d,wild-type,plasmid-free,start,6,80,79,117
A,d,wild-type,pQBR57,start,6,80,149,213
A,d,wild-type,pQBR103,start,6,80,96,163
A,d,delta_gacS,plasmid-free,start,6,80,70,99
A,d,delta_gacS,pQBR57,start,6,80,176,249
A,d,delta_gacS,pQBR103,start,6,80,162,237
A,d,delta_PFLU4242,plasmid-free,start,6,80,92,107
A,d,delta_PFLU4242,pQBR57,start,6,80,234,268
A,d,delta_PFLU4242,pQBR103,start,6,80,121,155
A,a,wild-type,plasmid-free,end,6,40,91,85
A,a,wild-type,pQBR57,end,6,40,43,76
A,a,wild-type,pQBR103,end,6,40,6,146
A,a,delta_gacS,plasmid-free,end,6,40,93,98
A,a,delta_gacS,pQBR57,end,6,40,43,89
A,a,delta_gacS,pQBR103,end,6,40,60,89
A,a,delta_PFLU4242,plasmid-free,end,6,40,59,49
A,a,delta_PFLU4242,pQBR57,end,6,40,52,69
A,a,delta_PFLU4242,pQBR103,end,6,40,110,138
A,b,wild-type,plasmid-free,end,6,40,85,96
A,b,wild-type,pQBR57,end,6,40,23,142
A,b,wild-type,pQBR103,end,6,40,10,156
A,b,delta_gacS,plasmid-free,end,6,40,42,87
A,b,delta_gacS,pQBR57,end,6,40,51,96
A,b,delta_gacS,pQBR103,end,6,40,39,91
A,b,delta_PFLU4242,plasmid-free,end,6,40,104,141
A,b,delta_PFLU4242,pQBR57,end,6,40,54,88
A,b,delta_PFLU4242,pQBR103,end,6,40,49,93
A,c,wild-type,plasmid-free,end,6,40,67,75
A,c,wild-type,pQBR57,end,6,40,53,117
A,c,wild-type,pQBR103,end,6,50,7,398
A,c,delta_gacS,plasmid-free,end,6,40,99,99
A,c,delta_gacS,pQBR57,end,6,40,59,100
A,c,delta_gacS,pQBR103,end,6,40,53,77
A,c,delta_PFLU4242,plasmid-free,end,6,40,89,104
A,c,delta_PFLU4242,pQBR57,end,6,40,72,90
A,c,delta_PFLU4242,pQBR103,end,6,40,72,107
A,d,wild-type,plasmid-free,end,6,40,95,108
A,d,wild-type,pQBR57,end,6,40,22,64
A,d,wild-type,pQBR103,end,6,40,5,101
A,d,delta_gacS,plasmid-free,end,6,40,95,100
A,d,delta_gacS,pQBR57,end,6,40,52,90
A,d,delta_gacS,pQBR103,end,6,40,33,73
A,d,delta_PFLU4242,plasmid-free,end,6,40,67,89
A,d,delta_PFLU4242,pQBR57,end,6,40,97,154
A,d,delta_PFLU4242,pQBR103,end,6,40,65,96
B,a,wild-type,plasmid-free,start,6,80,223,241
B,a,wild-type,pQBR57,start,6,80,281,217
B,a,wild-type,pQBR103,start,6,80,102,176
B,a,delta_gacS,plasmid-free,start,6,80,182,246
B,a,delta_gacS,pQBR57,start,6,80,203,201
B,a,delta_gacS,pQBR103,start,6,80,185,248
B,a,delta_PFLU4242,plasmid-free,start,6,80,217,207
B,a,delta_PFLU4242,pQBR57,start,6,80,255,245
B,a,delta_PFLU4242,pQBR103,start,6,80,183,250
B,b,wild-type,plasmid-free,start,6,80,236,255
B,b,wild-type,pQBR57,start,6,80,161,146
B,b,wild-type,pQBR103,start,6,80,79,173
B,b,delta_gacS,plasmid-free,start,6,80,140,225
B,b,delta_gacS,pQBR57,start,6,80,114,189
B,b,delta_gacS,pQBR103,start,6,80,141,299
B,b,delta_PFLU4242,plasmid-free,start,6,80,188,244
B,b,delta_PFLU4242,pQBR57,start,6,80,109,181
B,b,delta_PFLU4242,pQBR103,start,6,80,221,299
B,c,wild-type,plasmid-free,start,6,80,135,150
B,c,wild-type,pQBR57,start,6,80,202,168
B,c,wild-type,pQBR103,start,6,80,89,151
B,c,delta_gacS,plasmid-free,start,6,80,215,276
B,c,delta_gacS,pQBR57,start,6,80,143,268
B,c,delta_gacS,pQBR103,start,6,80,132,188
B,c,delta_PFLU4242,plasmid-free,start,6,80,286,272
B,c,delta_PFLU4242,pQBR57,start,6,80,205,211
B,c,delta_PFLU4242,pQBR103,start,6,80,139,193
B,d,wild-type,plasmid-free,start,6,80,218,176
