replicate,marker,plasmid,timepoint,dilution,spread,count_white,count_blue
a,Gm,plasmid-free,start,6,40,68,68
a,Gm,pQBR57_anc,start,6,40,101,85
a,Gm,pQBR57_V100A,start,6,40,85,64
a,Sm,pQBR57_anc,start,6,40,79,60
a,Sm,pQBR57_V100A,start,6,40,73,64
b,Gm,plasmid-free,start,6,40,112,77
b,Gm,pQBR57_anc,start,6,40,106,66
b,Gm,pQBR57_V100A,start,6,40,116,71
b,Sm,pQBR57_anc,start,6,40,94,83
b,Sm,pQBR57_V100A,start,6,40,79,114
c,Gm,plasmid-free,start,6,40,79,62
c,Gm,pQBR57_anc,start,6,40,105,104
c,Gm,pQBR57_V100A,start,6,40,119,105
c,Sm,pQBR57_anc,start,6,40,88,103
c,Sm,pQBR57_V100A,start,6,40,99,126
d,Gm,plasmid-free,start,6,40,76,106
d,Gm,pQBR57_anc,start,6,40,57,36
d,Gm,pQBR57_V100A,start,6,40,120,102
d,Sm,pQBR57_anc,start,6,40,48,67
d,Sm,pQBR57_V100A,start,6,40,63,82
e,Gm,plasmid-free,start,6,40,103,94
e,Gm,pQBR57_anc,start,6,40,56,73
e,Gm,pQBR57_V100A,start,6,40,89,83
e,Sm,pQBR57_anc,start,6,40,63,82
e,Sm,pQBR57_V100A,start,6,40,92,99
f,Gm,plasmid-free,start,6,40,108,116
f,Gm,pQBR57_anc,start,6,40,63,74
f,Gm,pQBR57_V100A,start,6,40,132,105
f,Sm,pQBR57_anc,start,6,40,75,88
f,Sm,pQBR57_V100A,start,6,40,94,125
a,Gm,plasmid-free,end,6,40,151,125
a,Gm,pQBR57_anc,end,6,40,62,124
a,Gm,pQBR57_V100A,end,6,40,114,109
a,Sm,pQBR57_anc,end,6,40,148,46
a,Sm,pQBR57_V100A,end,6,40,101,102
b,Gm,plasmid-free,end,6,40,105,94
b,Gm,pQBR57_anc,end,6,40,55,108
b,Gm,pQBR57_V100A,end,6,40,72,70
b,Sm,pQBR57_anc,end,6,40,135,59
b,Sm,pQBR57_V100A,end,6,40,80,62
c,Gm,plasmid-free,end,6,40,137,124
c,Gm,pQBR57_anc,end,6,40,35,76
c,Gm,pQBR57_V100A,end,6,40,125,156
c,Sm,pQBR57_anc,end,6,40,106,42
c,Sm,pQBR57_V100A,end,6,40,136,127
d,Gm,plasmid-free,end,6,40,157,140
d,Gm,pQBR57_anc,end,6,40,70,220
d,Gm,pQBR57_V100A,end,6,40,119,133
d,Sm,pQBR57_anc,end,6,40,189,85
d,Sm,pQBR57_V100A,end,6,40,140,138
e,Gm,plasmid-free,end,6,40,106,119
e,Gm,pQBR57_anc,end,6,40,54,164
e,Gm,pQBR57_V100A,end,6,40,109,115
e,Sm,pQBR57_anc,end,6,40,173,79
e,Sm,pQBR57_V100A,end,6,40,101,87
f,Gm,plasmid-free,end,6,40,143,126
f,Gm,pQBR57_anc,end,6,40,82,230
f,Gm,pQBR57_V100A,end,6,40,126,110
f,Sm,pQBR57_anc,end,6,40,197,76
f,Sm,pQBR57_V100A,end,6,40,119,110
