replicate,donor,plasmid,recipient,timepoint,dilution,spread,count_donor,count_recipient
a,wild-type,pQBR57_anc,NA,start_donor,6,60,202,0
a,wild-type,pQBR57_V100A,NA,start_donor,6,60,254,0
a,delta_gacS,pQBR57_anc,NA,start_donor,6,60,178,0
a,delta_gacS,pQBR57_V100A,NA,start_donor,6,60,164,0
a,delta_PFLU4242,pQBR57_anc,NA,start_donor,6,60,273,0
a,delta_PFLU4242,pQBR57_V100A,NA,start_donor,6,60,308,0
a,NA,NA,Pf,start_pf_recipient,6,60,0,258
a,NA,NA,Pp,start_pp_recipient,6,60,0,85
a,wild-type,pQBR57_anc,Pf,end_DR,6,50,51,198
a,wild-type,pQBR57_anc,Pp,end_DR,6,50,55,124
a,wild-type,pQBR57_V100A,Pf,end_DR,6,50,73,114
a,wild-type,pQBR57_V100A,Pp,end_DR,6,50,68,115
a,delta_gacS,pQBR57_anc,Pf,end_DR,6,50,76,141
a,delta_gacS,pQBR57_anc,Pp,end_DR,6,50,67,219
a,delta_gacS,pQBR57_V100A,Pf,end_DR,6,50,29,91
a,delta_gacS,pQBR57_V100A,Pp,end_DR,6,50,53,87
a,delta_PFLU4242,pQBR57_anc,Pf,end_DR,6,50,104,104
a,delta_PFLU4242,pQBR57_anc,Pp,end_DR,6,50,121,117
a,delta_PFLU4242,pQBR57_V100A,Pf,end_DR,6,50,89,96
a,delta_PFLU4242,pQBR57_V100A,Pp,end_DR,6,50,91,102
a,wild-type,pQBR57_anc,Pf,end_T,5,50,0,44
a,wild-type,pQBR57_anc,Pp,end_T,2,50,0,183
a,wild-type,pQBR57_V100A,Pf,end_T,5,50,0,67
a,wild-type,pQBR57_V100A,Pp,end_T,2,50,0,461
a,delta_gacS,pQBR57_anc,Pf,end_T,5,50,0,1
a,delta_gacS,pQBR57_anc,Pp,end_T,2,50,0,36
a,delta_gacS,pQBR57_V100A,Pf,end_T,5,50,0,5
a,delta_gacS,pQBR57_V100A,Pp,end_T,2,50,0,10
a,delta_PFLU4242,pQBR57_anc,Pf,end_T,5,50,0,87
a,delta_PFLU4242,pQBR57_anc,Pp,end_T,2,50,0,203
a,delta_PFLU4242,pQBR57_V100A,Pf,end_T,5,50,0,222
a,delta_PFLU4242,pQBR57_V100A,Pp,end_T,2,50,0,347
b,wild-type,pQBR57_anc,NA,start_donor,6,60,245,0
b,wild-type,pQBR57_V100A,NA,start_donor,6,60,208,0
b,delta_gacS,pQBR57_anc,NA,start_donor,6,60,215,0
b,delta_gacS,pQBR57_V100A,NA,start_donor,6,60,132,0
b,delta_PFLU4242,pQBR57_anc,NA,start_donor,6,60,339,0
b,delta_PFLU4242,pQBR57_V100A,NA,start_donor,6,60,209,0
b,NA,NA,Pf,start_pf_recipient,6,60,0,262
b,NA,NA,Pp,start_pp_recipient,6,60,0,86
b,wild-type,pQBR57_anc,Pf,end_DR,6,50,91,219
b,wild-type,pQBR57_anc,Pp,end_DR,6,50,47,71
b,wild-type,pQBR57_V100A,Pf,end_DR,6,50,109,143
b,wild-type,pQBR57_V100A,Pp,end_DR,6,50,61,75
b,delta_gacS,pQBR57_anc,Pf,end_DR,6,50,72,127
b,delta_gacS,pQBR57_anc,Pp,end_DR,6,50,143,84
b,delta_gacS,pQBR57_V100A,Pf,end_DR,6,50,57,123
b,delta_gacS,pQBR57_V100A,Pp,end_DR,6,50,84,93
b,delta_PFLU4242,pQBR57_anc,Pf,end_DR,6,50,136,94
b,delta_PFLU4242,pQBR57_anc,Pp,end_DR,6,50,101,93
b,delta_PFLU4242,pQBR57_V100A,Pf,end_DR,6,50,105,89
b,delta_PFLU4242,pQBR57_V100A,Pp,end_DR,6,50,71,69
b,wild-type,pQBR57_anc,Pf,end_T,5,50,0,111
b,wild-type,pQBR57_anc,Pp,end_T,2,50,0,214
b,wild-type,pQBR57_V100A,Pf,end_T,5,50,0,189
b,wild-type,pQBR57_V100A,Pp,end_T,2,50,0,274
b,delta_gacS,pQBR57_anc,Pf,end_T,5,50,0,9
b,delta_gacS,pQBR57_anc,Pp,end_T,2,50,0,50
b,delta_gacS,pQBR57_V100A,Pf,end_T,5,50,0,21
b,delta_gacS,pQBR57_V100A,Pp,end_T,2,50,0,16
b,delta_PFLU4242,pQBR57_anc,Pf,end_T,5,50,0,72
b,delta_PFLU4242,pQBR57_anc,Pp,end_T,2,50,0,326
b,delta_PFLU4242,pQBR57_V100A,Pf,end_T,5,50,0,130
b,delta_PFLU4242,pQBR57_V100A,Pp,end_T,2,50,0,212
c,wild-type,pQBR57_anc,NA,start_donor,6,60,237,0
c,wild-type,pQBR57_V100A,NA,start_donor,6,60,210,0
c,delta_gacS,pQBR57_anc,NA,start_donor,6,60,201,0
c,delta_gacS,pQBR57_V100A,NA,start_donor,6,60,206,0
c,delta_PFLU4242,pQBR57_anc,NA,start_donor,6,60,246,0
c,delta_PFLU4242,pQBR57_V100A,NA,start_donor,6,60,254,0
c,NA,NA,Pf,start_pf_recipient,6,60,0,352
c,NA,NA,Pp,start_pp_recipient,6,60,0,83
c,wild-type,pQBR57_anc,Pf,end_DR,6,50,90,194
c,wild-type,pQBR57_anc,Pp,end_DR,6,50,43,82
c,wild-type,pQBR57_V100A,Pf,end_DR,6,50,128,176
c,wild-type,pQBR57_V100A,Pp,end_DR,6,50,102,82
c,delta_gacS,pQBR57_anc,Pf,end_DR,6,50,79,150
c,delta_gacS,pQBR57_anc,Pp,end_DR,6,50,44,84
c,delta_gacS,pQBR57_V100A,Pf,end_DR,6,50,110,179
c,delta_gacS,pQBR57_V100A,Pp,end_DR,6,50,41,72
