replicate,host,plasmid,timepoint,dilution,spread,count_white,count_blue
a,wild-type,plasmid-free,start,6,60,141,136
a,wild-type,pQBR57_anc,start,6,60,104,99
a,wild-type,pQBR57_V100A,start,6,60,139,161
a,delta_gacS,plasmid-free,start,6,60,95,151
a,delta_gacS,pQBR57_anc,start,6,60,137,141
a,delta_gacS,pQBR57_V100A,start,6,60,91,125
a,delta_PFLU4242,plasmid-free,start,6,60,120,120
a,delta_PFLU4242,pQBR57_anc,start,6,60,140,129
a,delta_PFLU4242,pQBR57_V100A,start,6,60,112,130
b,wild-type,plasmid-free,start,6,60,142,117
b,wild-type,pQBR57_anc,start,6,60,140,92
b,wild-type,pQBR57_V100A,start,6,60,119,94
b,delta_gacS,plasmid-free,start,6,60,107,110
b,delta_gacS,pQBR57_anc,start,6,60,75,128
b,delta_gacS,pQBR57_V100A,start,6,60,101,135
b,delta_PFLU4242,plasmid-free,start,6,60,125,112
b,delta_PFLU4242,pQBR57_anc,start,6,60,101,125
b,delta_PFLU4242,pQBR57_V100A,start,6,60,129,113
c,wild-type,plasmid-free,start,6,60,121,85
c,wild-type,pQBR57_anc,start,6,60,114,106
c,wild-type,pQBR57_V100A,start,6,60,104,114
c,delta_gacS,plasmid-free,start,6,60,117,118
c,delta_gacS,pQBR57_anc,start,6,60,86,118
c,delta_gacS,pQBR57_V100A,start,6,60,78,97
c,delta_PFLU4242,plasmid-free,start,6,60,147,106
c,delta_PFLU4242,pQBR57_anc,start,6,60,120,90
c,delta_PFLU4242,pQBR57_V100A,start,6,60,139,127
d,wild-type,plasmid-free,start,6,60,148,163
d,wild-type,pQBR57_anc,start,6,60,118,118
d,wild-type,pQBR57_V100A,start,6,60,153,156
d,delta_gacS,plasmid-free,start,6,60,102,120
d,delta_gacS,pQBR57_anc,start,6,60,93,151
d,delta_gacS,pQBR57_V100A,start,6,60,129,155
d,delta_PFLU4242,plasmid-free,start,6,60,161,156
d,delta_PFLU4242,pQBR57_anc,start,6,60,186,155
d,delta_PFLU4242,pQBR57_V100A,start,6,60,150,140
a,wild-type,plasmid-free,end,6,40,105,126
a,wild-type,pQBR57_anc,end,6,40,64,124
a,wild-type,pQBR57_V100A,end,6,40,99,98
a,delta_gacS,plasmid-free,end,6,40,93,113
a,delta_gacS,pQBR57_anc,end,6,40,71,127
a,delta_gacS,pQBR57_V100A,end,6,40,88,112
a,delta_PFLU4242,plasmid-free,end,6,40,129,105
a,delta_PFLU4242,pQBR57_anc,end,6,40,117,102
a,delta_PFLU4242,pQBR57_V100A,end,6,40,91,102
b,wild-type,plasmid-free,end,6,40,115,107
b,wild-type,pQBR57_anc,end,6,40,64,134
b,wild-type,pQBR57_V100A,end,6,40,89,98
b,delta_gacS,plasmid-free,end,6,40,73,72
b,delta_gacS,pQBR57_anc,end,6,40,74,136
b,delta_gacS,pQBR57_V100A,end,6,40,114,130
b,delta_PFLU4242,plasmid-free,end,6,40,103,109
b,delta_PFLU4242,pQBR57_anc,end,6,40,202,151
b,delta_PFLU4242,pQBR57_V100A,end,6,40,97,81
c,wild-type,plasmid-free,end,6,40,150,160
c,wild-type,pQBR57_anc,end,6,40,73,109
c,wild-type,pQBR57_V100A,end,6,40,101,107
c,delta_gacS,plasmid-free,end,6,40,288,286
c,delta_gacS,pQBR57_anc,end,6,40,74,103
c,delta_gacS,pQBR57_V100A,end,6,40,99,133
c,delta_PFLU4242,plasmid-free,end,6,40,120,119
c,delta_PFLU4242,pQBR57_anc,end,6,40,104,104
c,delta_PFLU4242,pQBR57_V100A,end,6,40,127,139
d,wild-type,plasmid-free,end,6,40,132,128
d,wild-type,pQBR57_anc,end,6,40,79,159
d,wild-type,pQBR57_V100A,end,6,40,101,114
d,delta_gacS,plasmid-free,end,6,40,104,111
d,delta_gacS,pQBR57_anc,end,6,40,90,188
d,delta_gacS,pQBR57_V100A,end,6,40,120,145
d,delta_PFLU4242,plasmid-free,end,6,40,137,147
d,delta_PFLU4242,pQBR57_anc,end,6,40,120,133
d,delta_PFLU4242,pQBR57_V100A,end,6,40,153,150
