exp_rep,tc_rep,plasmid_pucp,plasmid_pq,timepoint,dilution,spread,count_white,count_blue
a,A,no pUCP18,none,start,6,60,164,220
a,A,no pUCP18,pQBR57,start,6,60,242,237
a,A,no insert,none,start,6,60,175,250
a,A,no insert,pQBR57,start,6,60,204,251
a,A,par,none,start,6,60,111,236
a,A,par,pQBR57,start,6,60,188,231
a,B,no pUCP18,none,start,6,60,180,222
a,B,no pUCP18,pQBR57,start,6,60,211,213
a,B,no insert,none,start,6,60,161,247
a,B,no insert,pQBR57,start,6,60,222,236
a,B,par,none,start,6,60,163,273
a,B,par,pQBR57,start,6,60,251,242
a,C,no pUCP18,none,start,6,60,153,249
a,C,no pUCP18,pQBR57,start,6,60,225,206
a,C,no insert,none,start,6,60,134,209
a,C,no insert,pQBR57,start,6,60,171,186
a,C,par,none,start,6,60,149,217
a,C,par,pQBR57,start,6,60,178,223
b,A,no pUCP18,none,start,6,60,227,112
b,A,no pUCP18,pQBR57,start,6,60,179,174
b,A,no insert,none,start,6,60,155,152
b,A,no insert,pQBR57,start,6,60,144,159
b,A,par,none,start,6,60,181,139
b,A,par,pQBR57,start,6,60,157,135
b,B,no pUCP18,none,start,6,60,160,112
b,B,no pUCP18,pQBR57,start,6,60,160,112
b,B,no insert,none,start,6,60,130,95
b,B,no insert,pQBR57,start,6,60,95,88
b,B,par,none,start,6,60,85,164
b,B,par,pQBR57,start,6,60,100,87
b,C,no pUCP18,none,start,6,60,199,120
b,C,no pUCP18,pQBR57,start,6,60,179,137
b,C,no insert,none,start,6,60,138,112
b,C,no insert,pQBR57,start,6,60,102,121
b,C,par,none,start,6,60,163,131
b,C,par,pQBR57,start,6,60,139,119
c,A,no pUCP18,none,start,6,60,128,170
c,A,no pUCP18,pQBR57,start,6,60,167,153
c,A,no insert,none,start,6,60,87,156
c,A,no insert,pQBR57,start,6,60,194,165
c,A,par,none,start,6,60,87,198
c,A,par,pQBR57,start,6,60,139,142
c,B,no pUCP18,none,start,6,60,152,161
c,B,no pUCP18,pQBR57,start,6,60,168,159
c,B,no insert,none,start,6,60,83,130
c,B,no insert,pQBR57,start,6,60,128,134
c,B,par,none,start,6,60,84,142
c,B,par,pQBR57,start,6,60,141,139
c,C,no pUCP18,none,start,6,60,166,179
c,C,no pUCP18,pQBR57,start,6,60,177,174
c,C,no insert,none,start,6,60,142,193
