replicate,variant,marker,timepoint,media,dilution,spread,count_white,count_blue,hg_kept,hg_lost
a,A01,Sm,0,KB,5,60,102,120,0,0
a,A04,Gm,0,KB,5,60,120,88,0,0
a,A11,Gm,0,KB,5,60,127,102,0,0
a,B01,Sm,0,KB,5,60,105,77,0,0
a,B02,Sm,0,KB,5,60,77,114,0,0
a,B03,Gm,0,KB,5,60,100,84,0,0
a,B09,Sm,0,KB,5,60,111,100,0,0
a,B10,Sm,0,KB,5,60,69,91,0,0
a,C01,Sm,0,KB,5,60,65,93,0,0
a,C03,Gm,0,KB,5,60,93,90,0,0
a,C10,Sm,0,KB,5,60,72,95,0,0
a,C11,Gm,0,KB,5,60,576,604,0,0
b,A01,Sm,0,KB,5,60,95,113,0,0
b,A04,Gm,0,KB,5,60,110,94,0,0
b,A11,Gm,0,KB,5,60,79,112,0,0
b,B01,Sm,0,KB,5,60,92,103,0,0
b,B02,Sm,0,KB,5,60,93,112,0,0
b,B03,Gm,0,KB,5,60,96,95,0,0
b,B09,Sm,0,KB,5,60,128,136,0,0
b,B10,Sm,0,KB,5,60,108,135,0,0
b,C01,Sm,0,KB,5,60,87,90,0,0
b,C03,Gm,0,KB,5,60,87,90,0,0
b,C10,Sm,0,KB,5,60,116,150,0,0
b,C11,Gm,0,KB,5,60,128,87,0,0
c,A01,Sm,0,KB,5,60,76,105,0,0
c,A04,Gm,0,KB,5,60,2068,136,0,0
c,A11,Gm,0,KB,5,60,83,79,0,0
c,B01,Sm,0,KB,5,60,84,108,0,0
c,B02,Sm,0,KB,5,60,109,116,0,0
c,B03,Gm,0,KB,5,60,114,94,0,0
c,B09,Sm,0,KB,5,60,90,119,0,0
c,B10,Sm,0,KB,5,60,133,115,0,0
c,C01,Sm,0,KB,5,60,84,127,0,0
c,C03,Gm,0,KB,5,60,112,88,0,0
c,C10,Sm,0,KB,5,60,118,91,0,0
c,C11,Gm,0,KB,5,60,80,78,0,0
a,A01,Sm,1,KB,5,40,73,39,2,0
a,A04,Gm,1,KB,5,40,80,77,0,0
a,A11,Gm,1,KB,5,40,33,94,1,0
a,B01,Sm,1,KB,5,40,108,82,0,0
a,B02,Sm,1,KB,5,40,71,105,0,0
a,B03,Gm,1,KB,5,40,108,103,9,0
a,B09,Sm,1,KB,5,40,63,91,1,0
a,B10,Sm,1,KB,5,40,86,115,0,0
a,C01,Sm,1,KB,5,40,67,126,2,0
a,C03,Gm,1,KB,5,40,83,90,2,0
a,C10,Sm,1,KB,5,40,129,63,1,0
a,C11,Gm,1,KB,5,40,77,100,2,0
b,A01,Sm,1,KB,5,40,181,49,1,0
b,A04,Gm,1,KB,5,40,99,141,1,0
b,A11,Gm,1,KB,5,40,67,156,12,0
b,B01,Sm,1,KB,5,40,102,92,1,0
b,B02,Sm,1,KB,5,40,145,115,2,0
b,B03,Gm,1,KB,5,40,97,132,4,0
b,B09,Sm,1,KB,5,40,91,94,0,0
b,B10,Sm,1,KB,5,40,117,101,0,0
b,C01,Sm,1,KB,5,40,90,98,2,0
b,C03,Gm,1,KB,5,40,64,70,4,0
b,C10,Sm,1,KB,5,40,87,67,0,0
b,C11,Gm,1,KB,5,40,86,98,3,0
c,A01,Sm,1,KB,5,40,179,58,0,0
c,A04,Gm,1,KB,5,40,100,146,2,0
c,A11,Gm,1,KB,5,40,49,204,0,0
c,B01,Sm,1,KB,5,40,94,106,3,0
c,B02,Sm,1,KB,5,40,115,133,0,0
c,B03,Gm,1,KB,5,40,106,132,0,0
c,B09,Sm,1,KB,5,40,101,82,2,0
c,B10,Sm,1,KB,5,40,117,98,1,0
c,C01,Sm,1,KB,5,40,129,122,0,0
c,C03,Gm,1,KB,5,40,72,128,0,0
c,C10,Sm,1,KB,5,40,141,55,2,0
c,C11,Gm,1,KB,5,40,81,107,2,0
a,A01,Sm,2,KB,5,40,148,37,12,0
a,A04,Gm,2,KB,5,40,101,109,12,0
a,A11,Gm,2,KB,5,40,35,129,0,0
a,B01,Sm,2,KB,5,40,73,79,13,0
a,B02,Sm,2,KB,5,40,76,100,2,0
a,B03,Gm,2,KB,5,40,89,103,5,0
a,B09,Sm,2,KB,5,40,80,72,6,0
a,B10,Sm,2,KB,5,40,81,78,11,0
a,C01,Sm,2,KB,5,40,75,144,1,0
a,C03,Gm,2,KB,5,40,82,120,6,3
a,C10,Sm,2,KB,5,40,123,24,1,0
a,C10,Sm,2,Sm50,4,40,0,222,0,0
a,C11,Gm,2,KB,5,40,97,146,11,1
b,A01,Sm,2,KB,5,40,169,19,2,0
b,A01,Sm,2,Sm50,4,40,0,165,0,0
b,A04,Gm,2,KB,5,40,37,55,0,0
b,A11,Gm,2,KB,5,40,40,152,14,0
b,B01,Sm,2,KB,5,40,88,76,0,0
b,B02,Sm,2,KB,5,40,107,82,5,0
b,B03,Gm,2,KB,5,40,70,107,7,0
b,B09,Sm,2,KB,5,40,107,80,1,0
b,B10,Sm,2,KB,5,40,65,56,4,0
b,C01,Sm,2,KB,5,40,81,117,10,0
b,C03,Gm,2,KB,5,40,65,85,4,0
b,C10,Sm,2,KB,5,40,91,47,5,2
b,C11,Gm,2,KB,5,40,76,136,4,0
c,A01,Sm,2,KB,5,40,129,11,0,0
c,A01,Sm,2,Sm50,4,40,0,138,0,0
c,A04,Gm,2,KB,5,40,56,91,4,0
c,A11,Gm,2,Gm2.5,4,40,156,0,0,0
c,A11,Gm,2,KB,5,40,23,158,4,0
c,B01,Sm,2,KB,5,40,92,71,4,0
c,B02,Sm,2,KB,5,40,88,89,4,0
c,B03,Gm,2,KB,5,40,59,138,4,0
c,B09,Sm,2,KB,5,40,104,72,8,0
c,B10,Sm,2,KB,5,40,93,94,5,0
c,C01,Sm,2,KB,5,40,99,111,3,0
c,C03,Gm,2,KB,5,40,51,91,12,0
c,C10,Sm,2,KB,5,40,153,26,6,0
c,C10,Sm,2,Sm50,4,40,0,309,0,0
c,C11,Gm,2,KB,5,40,74,108,7,0
a,A01,Sm,3,KB,5,40,96,16,18,0
a,A01,Sm,3,Sm50,4,40,0,132,0,0
a,A04,Gm,3,KB,5,40,58,67,8,0
a,A11,Gm,3,Gm3,4,40,119,0,0,0
a,A11,Gm,3,KB,5,40,17,209,5,0
a,B01,Sm,3,KB,5,40,103,58,15,0
a,B02,Sm,3,KB,5,40,80,87,4,0
a,B03,Gm,3,KB,5,40,72,129,3,2
a,B09,Sm,3,KB,5,40,112,119,20,0
a,B10,Sm,3,KB,5,40,83,110,14,0
a,C01,Sm,3,KB,5,40,45,114,2,0
a,C03,Gm,3,KB,5,40,52,91,5,0
a,C10,Sm,3,KB,5,40,176,15,3,0
a,C10,Sm,3,Sm50,4,40,0,135,0,1
a,C11,Gm,3,KB,5,40,71,91,12,0
b,A01,Sm,3,KB,5,40,160,15,9,0
b,A01,Sm,3,Sm50,4,40,0,86,0,0
b,A04,Gm,3,KB,5,40,47,125,6,0
b,A11,Gm,3,Gm3,4,40,88,0,0,0
b,A11,Gm,3,KB,5,40,6,142,4,0
b,B01,Sm,3,KB,5,40,61,37,4,0
b,B02,Sm,3,KB,5,40,87,67,8,0
b,B03,Gm,3,KB,5,40,45,68,2,0
b,B09,Sm,3,KB,5,40,86,49,4,0
b,B10,Sm,3,KB,5,40,75,57,2,0
b,C01,Sm,3,KB,5,40,72,86,8,0
b,C03,Gm,3,KB,5,40,47,82,3,0
b,C10,Sm,3,KB,5,40,108,30,5,0
b,C10,Sm,3,Sm50,4,40,0,320,0,0
b,C11,Gm,3,KB,5,40,47,102,13,0
c,A01,Sm,3,KB,5,40,135,12,19,0
c,A01,Sm,3,Sm50,4,40,0,77,0,0
c,A04,Gm,3,KB,5,40,61,127,9,0
c,A11,Gm,3,Gm3,4,40,72,0,0,0
c,A11,Gm,3,KB,5,40,6,134,9,0
c,B01,Sm,3,KB,5,40,93,58,15,0
c,B02,Sm,3,KB,5,40,93,67,9,0
c,B03,Gm,3,KB,5,40,42,94,6,0
c,B09,Sm,3,KB,5,40,85,76,7,0
c,B10,Sm,3,KB,5,40,92,85,6,0
c,C01,Sm,3,KB,5,40,83,96,8,0
c,C03,Gm,3,KB,5,40,45,88,14,0
c,C10,Sm,3,KB,5,40,123,12,1,0
c,C10,Sm,3,Sm50,4,40,0,140,0,0
c,C11,Gm,3,KB,5,40,56,111,7,0
a,A01,Sm,4,KB,5,40,101,10,13,NA
a,A01,Sm,4,Sm50,4,40,0,70,NA,1
a,A04,Gm,4,KB,5,40,48,72,18,NA
a,A11,Gm,4,Gm3,4,40,41,NA,NA,0
a,A11,Gm,4,KB,5,40,6,129,0,NA
