exp,well,cycle,time,t_rep,exp_rep,pME6032,IPTG,OD600_corr
2,A1,1,0,A,a,PFLU_2839,0,0.0050000000000000044
2,A1,2,899.186,A,a,PFLU_2839,0,0.005600000000000008
2,A1,3,1799.139,A,a,PFLU_2839,0,0.006100000000000008
2,A1,4,2699.057,A,a,PFLU_2839,0,0.006400000000000003
2,A1,5,3599.034,A,a,PFLU_2839,0,0.006500000000000006
2,A1,6,4498.974,A,a,PFLU_2839,0,0.009300000000000003
2,A1,7,5398.909,A,a,PFLU_2839,0,0.00910000000000001
2,A1,8,6298.865,A,a,PFLU_2839,0,0.012400000000000008
2,A1,9,7198.807,A,a,PFLU_2839,0,0.015000000000000013
2,A1,10,8098.733,A,a,PFLU_2839,0,0.017
2,A1,11,8998.691,A,a,PFLU_2839,0,0.01730000000000001
2,A1,12,9898.629,A,a,PFLU_2839,0,0.020800000000000013
2,A1,13,10798.592,A,a,PFLU_2839,0,0.023400000000000004
2,A1,14,11698.512,A,a,PFLU_2839,0,0.02560000000000001
2,A1,15,12598.458,A,a,PFLU_2839,0,0.0295
2,A1,16,13498.432,A,a,PFLU_2839,0,0.03270000000000001
2,A1,17,14398.363,A,a,PFLU_2839,0,0.035400000000000015
2,A1,18,15298.311,A,a,PFLU_2839,0,0.03920000000000001
2,A1,19,16198.25,A,a,PFLU_2839,0,0.04350000000000001
2,A1,20,17098.198,A,a,PFLU_2839,0,0.04869999999999999
2,A1,21,17998.138,A,a,PFLU_2839,0,0.054900000000000004
2,A1,22,18898.103,A,a,PFLU_2839,0,0.06240000000000001
2,A1,23,19798.053,A,a,PFLU_2839,0,0.0728
2,A1,24,20697.974,A,a,PFLU_2839,0,0.08510000000000001
2,A1,25,21597.914,A,a,PFLU_2839,0,0.0998
2,A1,26,22497.861,A,a,PFLU_2839,0,0.11880000000000002
2,A1,27,23397.812,A,a,PFLU_2839,0,0.1406
2,A1,28,24297.754,A,a,PFLU_2839,0,0.1706
2,A1,29,25197.697,A,a,PFLU_2839,0,0.205
2,A1,30,26097.642,A,a,PFLU_2839,0,0.2463
2,A1,31,26997.596,A,a,PFLU_2839,0,0.29410000000000003
2,A1,32,27897.534,A,a,PFLU_2839,0,0.3387
2,A1,33,28797.48,A,a,PFLU_2839,0,0.371
2,A1,34,29697.428,A,a,PFLU_2839,0,0.41159999999999997
2,A1,35,30597.374,A,a,PFLU_2839,0,0.43820000000000003
2,A1,36,31497.276,A,a,PFLU_2839,0,0.46319999999999995
2,A1,37,32397.259,A,a,PFLU_2839,0,0.5007
2,A1,38,33297.178,A,a,PFLU_2839,0,0.5438
2,A1,39,34197.165,A,a,PFLU_2839,0,0.5765
2,A1,40,35097.096,A,a,PFLU_2839,0,0.6061
2,A1,41,35997.029,A,a,PFLU_2839,0,0.6453
2,A1,42,36896.976,A,a,PFLU_2839,0,0.6615
2,A1,43,37796.925,A,a,PFLU_2839,0,0.6837
2,A1,44,38696.865,A,a,PFLU_2839,0,0.6970999999999999
2,A1,45,39596.817,A,a,PFLU_2839,0,0.7165
2,A1,46,40496.744,A,a,PFLU_2839,0,0.7341
2,A1,47,41396.693,A,a,PFLU_2839,0,0.7525999999999999
2,A1,48,42296.643,A,a,PFLU_2839,0,0.7714
2,A1,49,43196.594,A,a,PFLU_2839,0,0.7934
2,A1,50,44096.531,A,a,PFLU_2839,0,0.8294
2,A1,51,44996.474,A,a,PFLU_2839,0,0.8449
2,A1,52,45896.437,A,a,PFLU_2839,0,0.8631
2,A1,53,46796.373,A,a,PFLU_2839,0,0.8769
2,A1,54,47696.332,A,a,PFLU_2839,0,0.9017
2,A1,55,48596.256,A,a,PFLU_2839,0,0.9189
2,A1,56,49496.182,A,a,PFLU_2839,0,0.9234
2,A1,57,50396.123,A,a,PFLU_2839,0,0.9374
2,A1,58,51296.08,A,a,PFLU_2839,0,0.9575
2,A1,59,52196.038,A,a,PFLU_2839,0,0.9610000000000001
2,A1,60,53095.966,A,a,PFLU_2839,0,0.9824999999999999
2,A1,61,53995.925,A,a,PFLU_2839,0,0.9919
2,A1,62,54895.849,A,a,PFLU_2839,0,1.0099
2,A1,63,55795.815,A,a,PFLU_2839,0,1.0097
2,A1,64,56695.763,A,a,PFLU_2839,0,1.0309
2,A1,65,57595.693,A,a,PFLU_2839,0,1.0289
2,A1,66,58495.642,A,a,PFLU_2839,0,1.0405
2,A1,67,59395.582,A,a,PFLU_2839,0,1.0497
2,A1,68,60295.52,A,a,PFLU_2839,0,1.0715999999999999
2,A1,69,61195.49,A,a,PFLU_2839,0,1.0695
2,A1,70,62095.401,A,a,PFLU_2839,0,1.0687
2,A1,71,62995.354,A,a,PFLU_2839,0,1.0844
2,A1,72,63895.278,A,a,PFLU_2839,0,1.0925
2,A1,73,64795.226,A,a,PFLU_2839,0,1.1011
2,A1,74,65695.174,A,a,PFLU_2839,0,1.0974
2,A1,75,66595.111,A,a,PFLU_2839,0,1.1083
2,A1,76,67495.061,A,a,PFLU_2839,0,1.1231
2,A1,77,68395.006,A,a,PFLU_2839,0,1.1266
2,A1,78,69294.938,A,a,PFLU_2839,0,1.1387
2,A1,79,70194.885,A,a,PFLU_2839,0,1.1455
2,A1,80,71094.83,A,a,PFLU_2839,0,1.1551
2,A1,81,71994.752,A,a,PFLU_2839,0,1.1479
2,A1,82,72894.675,A,a,PFLU_2839,0,1.1577
2,A1,83,73794.64,A,a,PFLU_2839,0,1.1739
2,A1,84,74694.588,A,a,PFLU_2839,0,1.1683999999999999
2,A1,85,75594.517,A,a,PFLU_2839,0,1.1794
2,A1,86,76494.452,A,a,PFLU_2839,0,1.1825999999999999
2,A1,87,77394.397,A,a,PFLU_2839,0,1.199
2,A1,88,78294.36,A,a,PFLU_2839,0,1.1973
2,A1,89,79194.315,A,a,PFLU_2839,0,1.2129
2,A1,90,80094.242,A,a,PFLU_2839,0,1.2132
2,A1,91,80994.216,A,a,PFLU_2839,0,1.2215
2,A1,92,81894.132,A,a,PFLU_2839,0,1.2257
2,A1,93,82794.063,A,a,PFLU_2839,0,1.2339
2,A1,94,83694.01,A,a,PFLU_2839,0,1.2356
2,A1,95,84593.926,A,a,PFLU_2839,0,1.2351
2,A1,96,85493.872,A,a,PFLU_2839,0,1.2449
2,A1,97,86393.825,A,a,PFLU_2839,0,1.2476
2,A1,98,87293.794,A,a,PFLU_2839,0,1.2487
2,A1,99,88193.71,A,a,PFLU_2839,0,1.2555
2,A1,100,89093.663,A,a,PFLU_2839,0,1.2553
2,A1,101,89993.589,A,a,PFLU_2839,0,1.2609
2,A1,102,90893.532,A,a,PFLU_2839,0,1.2613
2,A1,103,91793.487,A,a,PFLU_2839,0,1.271
2,A1,104,92693.423,A,a,PFLU_2839,0,1.2737
2,A1,105,93593.349,A,a,PFLU_2839,0,1.2741
2,A1,106,94493.292,A,a,PFLU_2839,0,1.2837
2,A1,107,95393.238,A,a,PFLU_2839,0,1.2868
