code,timepoint,replicate,par,plasmid,spread,dilution,count,count_hgs
a.57.e,1,a,e,pQBR57,40,6,76,2
a.57.par,1,a,par,pQBR57,40,6,59,0
a.103.e,1,a,e,pQBR103,40,6,18,1
a.103.par,1,a,par,pQBR103,40,6,20,0
b.57.e,1,b,e,pQBR57,40,6,69,0
b.57.par,1,b,par,pQBR57,40,6,96,0
b.103.e,1,b,e,pQBR103,40,6,27,2
b.103.par,1,b,par,pQBR103,40,6,25,0
c.57.e,1,c,e,pQBR57,40,6,51,0
c.57.par,1,c,par,pQBR57,40,6,148,0
c.103.e,1,c,e,pQBR103,40,6,35,0
c.103.par,1,c,par,pQBR103,40,6,26,0
d.57.e,1,d,e,pQBR57,40,6,77,0
d.57.par,1,d,par,pQBR57,40,6,90,0
d.103.e,1,d,e,pQBR103,40,6,42,1
d.103.par,1,d,par,pQBR103,40,6,19,0
a.57.e,2,a,e,pQBR57,40,6,101,0
a.57.par,2,a,par,pQBR57,40,6,49,0
a.103.e,2,a,e,pQBR103,40,6,41,16
a.103.par,2,a,par,pQBR103,40,6,303,9
b.57.e,2,b,e,pQBR57,40,6,74,0
b.57.par,2,b,par,pQBR57,40,6,101,1
b.103.e,2,b,e,pQBR103,40,6,33,4
b.103.par,2,b,par,pQBR103,40,6,40,10
c.57.e,2,c,e,pQBR57,40,6,60,0
c.57.par,2,c,par,pQBR57,40,6,159,1
c.103.e,2,c,e,pQBR103,40,6,44,6
c.103.par,2,c,par,pQBR103,40,6,49,10
d.57.e,2,d,e,pQBR57,40,6,91,0
d.57.par,2,d,par,pQBR57,40,6,108,1
d.103.e,2,d,e,pQBR103,40,6,54,11
d.103.par,2,d,par,pQBR103,40,6,42,3
a.57.e,3,a,e,pQBR57,40,6,72,2
a.57.par,3,a,par,pQBR57,40,6,112,0
a.103.e,3,a,e,pQBR103,40,6,120,0
a.103.par,3,a,par,pQBR103,40,6,87,1
b.57.e,3,b,e,pQBR57,40,6,154,0
b.57.par,3,b,par,pQBR57,40,6,175,0
b.103.e,3,b,e,pQBR103,40,6,209,0
b.103.par,3,b,par,pQBR103,40,6,41,0
c.57.e,3,c,e,pQBR57,40,6,50,0
c.57.par,3,c,par,pQBR57,40,6,207,0
c.103.e,3,c,e,pQBR103,40,6,75,1
c.103.par,3,c,par,pQBR103,40,6,75,27
d.57.e,3,d,e,pQBR57,40,6,122,0
d.57.par,3,d,par,pQBR57,40,6,220,0
d.103.e,3,d,e,pQBR103,40,6,112,57
d.103.par,3,d,par,pQBR103,40,6,166,11
a.57.e,4,a,e,pQBR57,30,6,136,0
a.57.par,4,a,par,pQBR57,30,6,128,0
a.103.e,4,a,e,pQBR103,30,6,47,1
a.103.par,4,a,par,pQBR103,30,6,25,0
b.57.e,4,b,e,pQBR57,30,6,51,0
b.57.par,4,b,par,pQBR57,30,6,65,1
b.103.e,4,b,e,pQBR103,30,6,100,0
b.103.par,4,b,par,pQBR103,30,6,28,1
c.57.e,4,c,e,pQBR57,30,6,166,1
c.57.par,4,c,par,pQBR57,30,6,68,0
c.103.e,4,c,e,pQBR103,30,6,69,5
c.103.par,4,c,par,pQBR103,30,6,88,43
d.57.e,4,d,e,pQBR57,30,6,116,2
d.57.par,4,d,par,pQBR57,30,6,168,0
d.103.e,4,d,e,pQBR103,30,6,66,47
d.103.par,4,d,par,pQBR103,30,6,69,5
