well,cycle,replicate,pME6032,plasmid,IPTG,OD600_corr
A1,1,a,empty,none,0,0.002
A1,2,a,empty,none,0,0
A1,3,a,empty,none,0,0
A1,4,a,empty,none,0,0
A1,5,a,empty,none,0,0.001
A1,6,a,empty,none,0,0.002
A1,7,a,empty,none,0,0.002
A1,8,a,empty,none,0,0.003
A1,9,a,empty,none,0,0.003
A1,10,a,empty,none,0,0.005
A1,11,a,empty,none,0,0.006
A1,12,a,empty,none,0,0.007
A1,13,a,empty,none,0,0.009
A1,14,a,empty,none,0,0.012
A1,15,a,empty,none,0,0.015
A1,16,a,empty,none,0,0.017
A1,17,a,empty,none,0,0.023
A1,18,a,empty,none,0,0.031
A1,19,a,empty,none,0,0.035
A1,20,a,empty,none,0,0.044
A1,21,a,empty,none,0,0.054
A1,22,a,empty,none,0,0.069
A1,23,a,empty,none,0,0.081
A1,24,a,empty,none,0,0.096
A1,25,a,empty,none,0,0.113
A1,26,a,empty,none,0,0.138
A1,27,a,empty,none,0,0.168
A1,28,a,empty,none,0,0.202
A1,29,a,empty,none,0,0.241
A1,30,a,empty,none,0,0.282
A1,31,a,empty,none,0,0.335
A1,32,a,empty,none,0,0.378
A1,33,a,empty,none,0,0.412
A1,34,a,empty,none,0,0.449
A1,35,a,empty,none,0,0.478
A1,36,a,empty,none,0,0.509
A1,37,a,empty,none,0,0.536
A1,38,a,empty,none,0,0.562
A1,39,a,empty,none,0,0.596
A1,40,a,empty,none,0,0.622
A1,41,a,empty,none,0,0.645
A1,42,a,empty,none,0,0.67
A1,43,a,empty,none,0,0.691
A1,44,a,empty,none,0,0.708
A1,45,a,empty,none,0,0.726
A1,46,a,empty,none,0,0.739
A1,47,a,empty,none,0,0.754
A1,48,a,empty,none,0,0.768
A1,49,a,empty,none,0,0.781
A1,50,a,empty,none,0,0.783
A1,51,a,empty,none,0,0.794
A1,52,a,empty,none,0,0.808
A1,53,a,empty,none,0,0.815
A1,54,a,empty,none,0,0.821
A1,55,a,empty,none,0,0.833
A1,56,a,empty,none,0,0.844
A1,57,a,empty,none,0,0.853
A1,58,a,empty,none,0,0.859
A1,59,a,empty,none,0,0.862
A1,60,a,empty,none,0,0.871
A1,61,a,empty,none,0,0.879
A1,62,a,empty,none,0,0.887
A1,63,a,empty,none,0,0.894
A1,64,a,empty,none,0,0.901
A1,65,a,empty,none,0,0.906
A1,66,a,empty,none,0,0.908
A1,67,a,empty,none,0,0.915
A1,68,a,empty,none,0,0.921
A1,69,a,empty,none,0,0.926
A1,70,a,empty,none,0,0.929
A1,71,a,empty,none,0,0.935
A1,72,a,empty,none,0,0.938
A10,1,c,empty,none,100,0.001
A10,2,c,empty,none,100,0.001
A10,3,c,empty,none,100,0
A10,4,c,empty,none,100,0.001
A10,5,c,empty,none,100,0.001
A10,6,c,empty,none,100,0.002
A10,7,c,empty,none,100,0.002
A10,8,c,empty,none,100,0.002
A10,9,c,empty,none,100,0.003
A10,10,c,empty,none,100,0.004
A10,11,c,empty,none,100,0.004
A10,12,c,empty,none,100,0.005
A10,13,c,empty,none,100,0.007
A10,14,c,empty,none,100,0.009
A10,15,c,empty,none,100,0.011
A10,16,c,empty,none,100,0.014
A10,17,c,empty,none,100,0.017
A10,18,c,empty,none,100,0.023
A10,19,c,empty,none,100,0.026
A10,20,c,empty,none,100,0.031
A10,21,c,empty,none,100,0.038
A10,22,c,empty,none,100,0.046
A10,23,c,empty,none,100,0.055
A10,24,c,empty,none,100,0.065
A10,25,c,empty,none,100,0.078
A10,26,c,empty,none,100,0.095
A10,27,c,empty,none,100,0.116
A10,28,c,empty,none,100,0.136
A10,29,c,empty,none,100,0.172
A10,30,c,empty,none,100,0.213
A10,31,c,empty,none,100,0.254
A10,32,c,empty,none,100,0.301
A10,33,c,empty,none,100,0.337
A10,34,c,empty,none,100,0.373
A10,35,c,empty,none,100,0.412
A10,36,c,empty,none,100,0.44
A10,37,c,empty,none,100,0.47
A10,38,c,empty,none,100,0.492
A10,39,c,empty,none,100,0.514
A10,40,c,empty,none,100,0.538
A10,41,c,empty,none,100,0.557
A10,42,c,empty,none,100,0.58
A10,43,c,empty,none,100,0.606
A10,44,c,empty,none,100,0.624
A10,45,c,empty,none,100,0.646
A10,46,c,empty,none,100,0.66
A10,47,c,empty,none,100,0.676
A10,48,c,empty,none,100,0.694
A10,49,c,empty,none,100,0.708
A10,50,c,empty,none,100,0.72
A10,51,c,empty,none,100,0.733
A10,52,c,empty,none,100,0.748
A10,53,c,empty,none,100,0.758
A10,54,c,empty,none,100,0.769
A10,55,c,empty,none,100,0.779
A10,56,c,empty,none,100,0.791
A10,57,c,empty,none,100,0.8
A10,58,c,empty,none,100,0.811
A10,59,c,empty,none,100,0.817
A10,60,c,empty,none,100,0.825
A10,61,c,empty,none,100,0.833
A10,62,c,empty,none,100,0.842
A10,63,c,empty,none,100,0.851
A10,64,c,empty,none,100,0.855
A10,65,c,empty,none,100,0.861
A10,66,c,empty,none,100,0.872
A10,67,c,empty,none,100,0.876
A10,68,c,empty,none,100,0.885
A10,69,c,empty,none,100,0.89
A10,70,c,empty,none,100,0.897
A10,71,c,empty,none,100,0.91
A10,72,c,empty,none,100,0.909
A11,1,c,PFLU4242,none,100,0
A11,2,c,PFLU4242,none,100,0.002
A11,3,c,PFLU4242,none,100,0.001
A11,4,c,PFLU4242,none,100,0.001
A11,5,c,PFLU4242,none,100,0.001
A11,6,c,PFLU4242,none,100,0.002
A11,7,c,PFLU4242,none,100,0.003
A11,8,c,PFLU4242,none,100,0.004
A11,9,c,PFLU4242,none,100,0.005
A11,10,c,PFLU4242,none,100,0.006
A11,11,c,PFLU4242,none,100,0.007
A11,12,c,PFLU4242,none,100,0.009
A11,13,c,PFLU4242,none,100,0.012
A11,14,c,PFLU4242,none,100,0.014
A11,15,c,PFLU4242,none,100,0.019
A11,16,c,PFLU4242,none,100,0.022
A11,17,c,PFLU4242,none,100,0.027
A11,18,c,PFLU4242,none,100,0.033
A11,19,c,PFLU4242,none,100,0.04
A11,20,c,PFLU4242,none,100,0.048
A11,21,c,PFLU4242,none,100,0.056
A11,22,c,PFLU4242,none,100,0.067
A11,23,c,PFLU4242,none,100,0.08
A11,24,c,PFLU4242,none,100,0.093
A11,25,c,PFLU4242,none,100,0.114
A11,26,c,PFLU4242,none,100,0.139
A11,27,c,PFLU4242,none,100,0.165
A11,28,c,PFLU4242,none,100,0.2
A11,29,c,PFLU4242,none,100,0.243
A11,30,c,PFLU4242,none,100,0.287
A11,31,c,PFLU4242,none,100,0.326
A11,32,c,PFLU4242,none,100,0.362
A11,33,c,PFLU4242,none,100,0.393
A11,34,c,PFLU4242,none,100,0.426
A11,35,c,PFLU4242,none,100,0.455
A11,36,c,PFLU4242,none,100,0.479
A11,37,c,PFLU4242,none,100,0.502
A11,38,c,PFLU4242,none,100,0.521
A11,39,c,PFLU4242,none,100,0.54
A11,40,c,PFLU4242,none,100,0.563
A11,41,c,PFLU4242,none,100,0.583
A11,42,c,PFLU4242,none,100,0.603
A11,43,c,PFLU4242,none,100,0.622
A11,44,c,PFLU4242,none,100,0.642
A11,45,c,PFLU4242,none,100,0.661
A11,46,c,PFLU4242,none,100,0.677
A11,47,c,PFLU4242,none,100,0.692
A11,48,c,PFLU4242,none,100,0.711
A11,49,c,PFLU4242,none,100,0.721
A11,50,c,PFLU4242,none,100,0.734
A11,51,c,PFLU4242,none,100,0.739
A11,52,c,PFLU4242,none,100,0.759
A11,53,c,PFLU4242,none,100,0.767
A11,54,c,PFLU4242,none,100,0.775
A11,55,c,PFLU4242,none,100,0.789
A11,56,c,PFLU4242,none,100,0.802
A11,57,c,PFLU4242,none,100,0.811
A11,58,c,PFLU4242,none,100,0.815
A11,59,c,PFLU4242,none,100,0.824
A11,60,c,PFLU4242,none,100,0.834
A11,61,c,PFLU4242,none,100,0.839
A11,62,c,PFLU4242,none,100,0.851
A11,63,c,PFLU4242,none,100,0.858
A11,64,c,PFLU4242,none,100,0.865
A11,65,c,PFLU4242,none,100,0.865
A11,66,c,PFLU4242,none,100,0.877
A11,67,c,PFLU4242,none,100,0.88
A11,68,c,PFLU4242,none,100,0.884
A11,69,c,PFLU4242,none,100,0.89
A11,70,c,PFLU4242,none,100,0.899
A11,71,c,PFLU4242,none,100,0.909
A11,72,c,PFLU4242,none,100,0.913
A2,1,a,PFLU4242,none,0,0.001
A2,2,a,PFLU4242,none,0,0.001
A2,3,a,PFLU4242,none,0,0
A2,4,a,PFLU4242,none,0,0.001
A2,5,a,PFLU4242,none,0,0.001
A2,6,a,PFLU4242,none,0,0.002
A2,7,a,PFLU4242,none,0,0.003
A2,8,a,PFLU4242,none,0,0.004
A2,9,a,PFLU4242,none,0,0.005
A2,10,a,PFLU4242,none,0,0.006
A2,11,a,PFLU4242,none,0,0.007
A2,12,a,PFLU4242,none,0,0.009
A2,13,a,PFLU4242,none,0,0.011
A2,14,a,PFLU4242,none,0,0.014
