AR03,AR04,AR07,AR09,BR03,BR04,BR07,BR09,CR03,CR04,CR07,CR09
PQBR57_0001,5983.74348686261,4623.67545082496,5008.29712972211,6286.17960234192,5622.71159686249,5009.61818191523,5050.3738006778,5827.78764692833,5991.94501838271,5672.26763935745,5239.15134098892,7123.35540658245
PQBR57_0002,76.4341422471218,115.350563722674,82.841554667468,78.6837753296258,99.9264008639691,84.6448400855283,89.8369482513062,70.6328904428539,81.2949633645208,109.658132543767,73.4144582124348,106.661660490217
PQBR57_0003,372.941820995244,739.196430464048,381.749386420847,710.934532433168,565.133999144552,725.735263526832,450.709986557912,815.573315125442,490.058377686983,235.237591046702,422.884452276306,419.484243706536
PQBR57_0004,35616.5010890413,44633.9438457741,41986.0636793783,5970.90284074495,29849.0944627853,36128.8133816576,32615.1822556962,6096.80674574748,22595.2055742378,78149.7234120243,23391.6316458462,5525.15900276417
PQBR57_0005,72783.5099542323,91457.3321407104,84900.9457161116,9748.76711404106,59468.9189429033,71791.3241766052,67436.6007212641,10475.0518733055,41322.932427252,152119.824848902,49491.7510912605,10228.871403917
PQBR57_0006,56302.369482115,73855.7854067128,67337.6973533059,8313.02378558644,49663.5949712719,58199.6519053014,54951.3989458151,8344.14177423672,35684.4443143868,114528.249193985,40643.817551756,8581.92243737924
PQBR57_0007,51020.5130111549,69829.6073662342,64324.7716119127,7808.62519229873,49142.2385552426,54424.5189097564,50940.2442585231,8235.25617291064,35578.2382200749,98512.2756283357,40167.7580114005,8035.87745645904
PQBR57_0008,91459.4702060877,116862.963620551,109602.865671897,14564.9469703825,86910.6208523137,100515.695092359,99621.930695517,15337.7716303693,62126.1232895075,151975.498639368,91121.595747318,15046.383154943
PQBR57_0009,66504.9625608507,93151.158571674,86722.0771040768,13617.1414610387,67098.8817297572,76142.6228350096,72421.6735107604,13495.5625673253,52765.9435186522,110777.53843273,62600.4855859623,11702.1401370029
PQBR57_0010,47638.549909999,64105.0926874804,60817.9913818223,11305.9516077165,47485.1702122122,55531.2140425007,52782.2367894456,11877.0701120831,40769.9612240524,70978.9333666769,49121.8735360045,9686.92256373352
PQBR57_0011,684.433001031045,491.350436286495,484.236082491216,729.740922821676,657.53911642892,510.1627381029,564.41182407593,668.422100105128,698.33318820395,863.428885319146,815.654405678389,988.041400465807
PQBR57_0012,975.507449005297,991.618655200404,912.780838646467,1280.75312754686,1168.87700273517,1061.69002253847,968.21438103364,1262.83408101814,994.023817443461,1419.37276219395,1216.0785330324,1280.22571551347
PQBR57_0013,2921.04697561435,2921.08940845582,2604.22121321668,2723.22393972133,2817.65391062851,2783.72081289461,2405.06520486647,2792.35587918546,2646.73231046944,3692.89650909132,2518.71179447973,2774.92478428695
PQBR57_0014,2378.36740009699,3084.52243336272,3106.13216034555,3364.6368832322,2753.42935848643,3171.10679747771,2806.92163850788,3174.13983339448,2372.60856041638,3928.06844740871,2403.0017440923,2946.89446709918
PQBR57_0015,772.919397306539,800.576676676875,825.571843804433,762.132936497061,826.089430547194,886.415163997606,801.425056495567,804.747719437697,732.776722147885,1043.69415395292,711.301580974238,736.345217149314
PQBR57_0016,2311.55707952235,2178.49230288034,2012.33136927331,2235.99001684098,2240.62612668965,2549.74714820488,2060.80728813146,2414.24315831309,1962.14593368525,2416.4446852643,1554.70202698655,1935.1152306684
PQBR57_0017,2717.69981872815,2121.52819319372,2198.0850341293,2369.93338016866,2714.9404885733,2346.39308117013,2420.05612619762,2556.16671777942,2427.24719204027,1860.48072008319,2192.26050528019,2071.19182679759
PQBR57_0018,7136.03064560004,5585.7361813569,5944.57623548029,7800.4889171054,8148.82944678455,6528.43292565318,7308.58841724694,8466.95115483136,8039.17652634283,4343.01854413582,7423.35091036727,6630.44134777998
PQBR57_0019,1040.61976691637,948.56053273768,859.58801389093,890.594687946378,1061.04165686384,960.268847863944,982.695544462332,854.546568781207,953.498283930202,1060.39021574285,891.292531382356,942.328738222034
PQBR57_0020,1176.258503419,1138.72794834093,1015.45336787945,1204.62611921791,1379.17812857899,1298.08722298548,1192.03777244836,1128.35400365273,1608.9596656219,1084.602119786,1242.71644375597,1223.06351492327
PQBR57_0021,3243.15945103941,4245.38548026929,3561.52600639039,3552.10265923229,3098.89859872798,3022.55538138152,3173.61466090487,3227.29744059581,2908.88600515451,3056.07810590588,2672.77431426737,2502.5315266157
PQBR57_0022,13873.9983687703,19546.1751206162,14795.6682989209,14542.4090013343,11452.3538820898,13584.4022883814,12412.1385838402,13178.5972380386,9413.85244971946,14204.8354547569,10403.6866371217,10840.3473308003
PQBR57_0023,894.053602561956,1040.18589328791,966.247126545254,1033.38024932909,812.177447909881,891.262173179366,841.60744281831,1109.07656046521,851.551205396742,765.902673196658,932.992959028381,838.520894323329
PQBR57_0024,2480.06310961837,2276.614264791,2079.26165803888,2356.10696847032,2115.69424568635,1881.28583041374,2268.37328345857,2302.24695812553,2130.38177948085,3555.74687622149,2092.62021850862,2656.73354347473
PQBR57_0025,3754.46654121332,4102.95546796898,4046.11616465827,4210.63892637075,4051.06419784797,4546.86619460581,5018.80145230805,3516.43017837363,3874.53319146789,5536.86091165149,4844.86724727302,4958.39482910378
PQBR57_0026,9125.14914917724,13288.7314396384,12007.904755136,11380.915370518,11021.9383515331,12558.4778214194,11796.3730822905,9788.81517143203,9921.74470806356,13347.9097446829,12880.6014719695,12304.9450536306
PQBR57_0027,7616.04364736821,10518.8628111995,9225.37796418116,8152.82061149517,8033.56542579574,9545.30974173927,8380.13521965511,8083.81010603555,7418.98304859788,9422.953966417,8457.07169596075,8737.07461278085
PQBR57_0028,1069.78603522499,1426.40210075245,1189.24849438572,1219.3503498577,937.404808104853,916.210631695004,963.855988569733,1252.64971141053,996.409605333428,764.267584764286,1064.3507383266,1035.09099096418
PQBR57_0029,677.328160189892,716.094360925421,594.277931382033,692.228306273265,736.890410649269,695.242185227386,638.063941754534,725.497991005945,713.590888114289,338.030487974673,648.185916766371,666.720373591633
PQBR57_0030,1437.50730592634,1352.99225078675,1575.49849231882,1775.13914024095,1638.01361773911,1456.17411053821,1581.67187632509,1845.61321629591,1529.46416301718,1740.17972065286,1602.57031504709,1380.82835065098
PQBR57_0031,1153.36953453475,1135.29481681488,1095.81298692027,1236.23289847796,1154.43639873214,899.732023211281,1293.76463767343,1189.89165062421,1141.44820402833,696.686870366133,1283.2565609363,1592.47631955172
PQBR57_0032,1802.01629886064,2568.42835660658,2230.16236377466,2061.66995555803,1673.02759900009,2322.12004929596,2257.34902079886,1955.61586376079,1485.49649843231,2406.00287087805,1834.76763891835,1603.20127623475
PQBR57_0033,2962.20475862437,2438.5490045476,2741.34774600206,2861.98977408527,3055.81104254421,2795.30677632231,2665.9920903001,3063.97421987731,3554.03280436878,2944.53846277169,2713.64155130512,3400.66450569128
PQBR57_0034,3028.90360645356,2023.29809478141,2412.34935927995,2336.96834446488,2876.12838850353,2645.55819901933,2370.25162573759,2586.41362544519,3451.7611874081,2866.60808494263,2716.52917200351,3289.64855565803
PQBR57_0035,3177.22370725303,2166.52338358263,2702.41622096951,2820.12803526583,3390.60143787837,2879.85690168907,2574.57175547339,3035.93005467103,4534.20981037713,3003.70579965547,3179.36353797412,3585.42163257205
PQBR57_0036,1547.70855713026,2053.13884955857,1431.56019907818,2233.03371170811,1249.57406477518,1383.9602699814,1586.49915268385,1814.23451731986,1227.1061777282,1874.05947533873,1161.52262891892,1616.92108483246
PQBR57_0037,796.974285911479,906.459080753522,869.924641230874,1022.67816937868,821.660116737768,938.090288571303,882.520265079635,926.47652254753,888.625259531167,1056.22848716243,850.878382654031,951.66574691632
PQBR57_0038,1272.78148782936,1312.8396616966,1257.12639330815,1399.34324278897,1238.17640428823,1487.49490792836,1350.48871882632,1340.70965737179,1406.83817634813,1336.47239227024,1586.70510875101,1453.69396525116
PQBR57_0039,785.464731482908,867.932887454977,808.291301083291,858.596932225581,839.925963351239,847.062659491608,833.459143381698,796.573628731491,879.284932568747,750.189691887538,814.850465824862,916.812315227824
PQBR57_0040,712.440489564284,805.870852024313,722.098579996152,839.366170897736,791.051093005478,801.050560201324,729.983908400054,757.482548225727,703.669594648723,730.197318189764,766.429318249389,752.486602818524
PQBR57_0041,2275.93303342462,2679.56643399706,2527.82561422215,2425.55950670337,2160.94100555899,2336.03372981839,2041.6266940769,2054.53047987878,1664.90031624783,1632.90199789482,1748.85592250426,2072.92394481833
PQBR57_0042,368.854787340502,385.65187328012,367.629888566925,397.982843577229,349.74655106876,368.994418792235,358.1806669431,319.708387606624,404.076628352532,426.542682212993,361.015877614512,329.527597671336
PQBR57_0043,323.634609084815,348.993993207421,183.074525459036,315.124196910793,304.001034796242,215.838081505073,312.896740668089,258.467602811536,265.008491933807,193.392442639356,262.67630401009,313.513136686266
PQBR57_0044,1309.22042463019,1325.14516150151,1117.29176480243,1485.20451418726,1450.15117850074,1444.65130916758,1368.62058319987,1250.063792152,1635.24395495928,1040.88013771226,1763.86956053834,1632.09801706574
PQBR57_0045,617.94497930183,580.243027841604,567.020558483621,573.010681748062,629.811780307719,585.800347034325,589.706838948035,581.402651720342,795.550667114383,546.221186436817,627.016454797355,595.974812863328
PQBR57_0046,286.161128032889,284.050763167084,240.612233460447,211.218380632099,254.672564999116,229.405046628249,252.51315913565,225.018854212396,418.283673754981,249.261370512948,210.141043208072,224.336066695506
PQBR57_0047,317.956808925433,293.71429675564,262.560663963659,273.207835795473,323.907872812866,258.280191649768,278.130436149412,279.514676350745,438.169843578949,217.970276671228,264.191161588003,260.646215597993
PQBR57_0048,233.367786191635,304.2726072515,195.446542149595,249.284200436957,250.042654312127,241.945442261974,198.276409256215,204.516246197899,294.387164368611,218.569059146188,285.468107305083,210.427180498406
PQBR57_0049,200.96549807832,347.438375115667,266.663174338092,346.114153136633,255.655856755869,247.91581798806,335.823127239228,294.98269963978,303.589105908272,175.275067838719,301.586502939909,292.260985684003
PQBR57_0050,908.039550669626,842.388754076643,821.859740190205,753.528557964015,781.068492822487,779.767753449777,924.117598338164,822.45856921731,833.310778058239,613.620358899402,934.503651732891,917.433166091992
PQBR57_0051,1783.05190887596,1695.64072130242,1641.45998425892,1985.71106733824,1713.56262158917,1655.76627231156,1858.22130405706,2094.84961220662,1725.9023283193,1489.83807662912,1841.52819871433,1996.10194041818
PQBR57_0052,1272.29072959229,1348.65895227769,1303.76105205424,1247.2869481698,1277.34281543958,1335.04977761272,1210.80844007902,1174.11933858206,1251.81065908501,1543.63128818715,1250.41909263867,1296.13866396009
PQBR57_0053,734.513464521121,407.986190998792,707.633008975228,486.084786269779,625.62937303672,484.921236775161,570.899316306688,740.470745041715,817.560805702185,654.075253154246,953.724772857294,485.987843318547
PQBR57_0054,10575.7535713222,7662.30169412504,15001.2756718334,12583.5816661204,10235.1056091127,9254.01640555541,16950.4869560837,14479.3272915008,11712.6116562863,9331.46214872905,18999.6514924292,14484.4168038423
PQBR57_0055,10315.8941979308,8163.33373375018,16372.2052832048,11818.2789848324,11332.798949298,9357.90464894825,17988.8296348028,13283.5483477041,13245.3020296259,9554.74312527666,23527.4677825468,15550.1919054752
