AR05,AR06,AR10,BR05,BR06,BR10,CR05,CR06,CR10
pQBR0001,19613.9365421108,19649.5840396859,24016.0796831951,19924.8045471293,20783.7310720331,27362.8489425568,19794.2069072624,21517.1647060464,24128.1592174252
pQBR0002,14838.4677388458,15527.8777879035,17105.943676279,14804.6908382394,15549.7030036952,19181.9201046077,14348.4968866065,16882.0320570229,20160.8817310901
pQBR0003,6621.80537494186,5949.9008772294,4221.28510506738,4702.57885885399,4813.99996446552,5435.7064093204,6205.77291931121,5751.65761458792,3535.64027397019
pQBR0004,3475.50655739174,5203.4823034223,2955.74136993259,3376.47710888946,4204.62600513417,2276.96847111407,3312.4252416594,5659.68055940604,3812.23707996494
pQBR0005,26631.6182977565,35418.6990075608,19496.2580147171,25431.8876988944,30669.5172524416,20539.9633200252,24734.2801247541,45180.924564314,25570.15643754
pQBR0006,12685.2794244898,21229.7642138672,8189.01497183818,12245.3494726583,16649.6095175287,8829.3045024247,11669.8886021614,20827.6956159999,7897.92841524016
pQBR0007,12282.6675242336,22356.1012137957,7850.16393937799,12882.812113894,18028.1740877247,8698.13988339639,11502.2701493087,20653.4207142749,7181.69471091691
pQBR0008,6305.23804060506,14279.7621053506,4698.10447919952,8649.9583868935,10665.466043722,5351.18336059639,6612.62442190505,13046.5974651562,5147.27058786342
pQBR0009,5676.00153784684,12448.2354972895,4074.15960219161,7436.07377166521,9241.11516232348,4575.39697780356,6419.99940494211,12403.2771137357,4481.93129723547
pQBR0010,3985.55735589431,11569.1482471796,3424.7178878265,5993.75606651958,7766.4410613418,3830.92892133392,4144.01684799351,9326.1241517224,3764.15459041564
pQBR0011,5467.98731538526,10985.5210909502,5173.07223335331,7463.96174644893,8130.41181509449,5793.07972408455,5306.41233281359,10346.9708127995,7285.11256496066
pQBR0012,6412.2069808885,9749.45115727739,4737.9687681453,6743.43811311599,7494.63417756575,4783.44726295261,6130.84926042795,8856.7134751197,5035.25954566942
pQBR0013,202.947620439957,93.5350566247573,104.772608326512,124.971167841252,86.1584115948945,108.921454541259,184.763568971237,127.901732760283,120.805381967759
pQBR0014,5308.02517233284,9407.16524759204,3147.75682948937,5537.9328671379,6050.09313113795,3260.81024814234,5140.80319666549,6592.59882649896,3036.27453949736
pQBR0015,2318.29196062919,5209.04101893795,1884.56673301803,3183.18118168922,3625.17473880935,1913.76422547611,2439.89959819008,3740.1999833287,2058.64220107705
pQBR0016,5023.91783666478,8867.04476713907,3413.00973733572,5533.42926220393,6207.6905184037,2913.55920895729,5821.74306963029,7292.51653023153,3404.08794419015
pQBR0017,3515.73366682264,6296.37431775715,2337.58820548855,3694.10757000817,4480.75642951039,2212.87451659384,3890.31195815602,3995.97887484076,2182.89391309119
pQBR0018,5892.44386473526,10179.5618246368,3966.75023061945,6902.8094428408,7602.6536288767,3950.96111477382,6164.2248699624,8672.46771867645,4587.82596011676
pQBR0019,9815.25895458931,12246.8350203268,5840.87544919844,9547.95978719239,10644.059838471,5572.33660246385,8679.33124170873,12576.8188589415,6846.1973858194
pQBR0020,11534.3366427031,11586.7628986736,6000.40818830272,8596.33662748024,10955.2567986599,4955.50455019035,9290.24667655597,12536.1653246774,6971.26491736157
pQBR0021,1781.53114775347,1838.30009980814,1864.91715123941,1611.0117649601,1747.94581431734,1928.00941207071,1363.35252972004,1889.05069496567,1779.2221515151
pQBR0022,2401.58749644423,2484.2465634504,2835.8717231003,2149.44622984738,2379.52779800622,2553.30043020468,2058.75586733604,2169.85552800111,2334.8608573587
pQBR0023,591.524013902519,813.455736129818,789.167922944201,799.728688650787,639.069411382491,673.543044519511,622.293964937846,861.560283176909,835.667357794603
pQBR0024,746.140715880976,920.62828584243,845.361742960689,920.238847103074,865.991038974391,786.612712957295,779.607651823699,904.606173536979,754.186482021402
